Word	Counts	Cluster
the	291436	7
of	197853	4
NUM	136753	9
and	126016	7
to	114417	7
in	86112	7
a	67384	7
PROPN	45314	15
that	43573	7
is	43396	4
for	38431	7
be	37219	17
it	31496	0
by	28661	7
or	26878	6
as	26764	7
which	24807	7
are	23858	4
with	22871	4
this	20232	7
from	19232	4
not	18982	7
their	18522	7
was	18069	4
at	17499	9
on	17425	7
his	16880	8
he	15908	6
they	15624	8
we	15394	0
have	14850	17
prison	14155	16
but	13765	7
an	12686	7
who	12070	8
all	12029	7
were	11542	9
may	10541	4
any	10397	6
them	9894	8
such	9892	7
will	9638	4
there	9590	10
would	9510	4
had	9238	4
no	9217	7
our	9010	7
if	8837	17
i	8426	0
has	8354	4
its	8112	7
state	8021	16
shall	7661	6
some	7608	7
these	7459	7
upon	7413	4
so	7392	7
those	6918	8
society	6848	11
other	6589	7
more	6413	7
when	6274	7
years	6125	9
prisoners	5997	9
him	5923	8
under	5525	7
only	5472	7
system	5400	0
prisons	5392	5
been	5352	9
made	5342	10
good	5271	7
havebeen	5268	17
time	5236	9
year	5131	9
can	5078	4
into	5078	7
most	5046	7
very	5043	7
than	4851	7
what	4817	7
public	4797	7
hasbeen	4750	4
convicts	4739	9
great	4315	7
report	4179	11
discipline	4145	5
must	4129	4
work	4080	0
many	4067	7
every	4031	7
men	4004	8
out	3913	7
now	3882	7
same	3848	6
where	3812	7
county	3735	16
without	3585	7
before	3568	9
being	3516	7
first	3516	9
crime	3458	6
means	3446	5
law	3404	6
could	3374	4
each	3371	2
man	3349	8
do	3339	17
persons	3294	6
much	3288	7
during	3286	9
should	3275	4
house	3205	16
her	3084	8
after	3068	9
children	3068	16
cases	3001	5
present	2968	7
life	2909	8
convict	2903	0
new	2886	16
own	2868	8
you	2860	8
general	2845	7
about	2835	9
institution	2791	0
also	2776	7
subject	2763	0
last	2761	9
place	2721	0
large	2714	16
imprisonment	2694	9
then	2687	7
while	2680	7
prisoner	2677	6
person	2670	6
might	2647	4
shouldbe	2638	4
committee	2622	11
make	2617	17
case	2606	6
well	2578	7
penitentiary	2570	16
whole	2565	9
labor	2543	2
day	2525	9
punishment	2515	6
moral	2509	8
poor	2502	16
found	2484	10
part	2469	0
said	2455	10
character	2438	5
country	2350	16
even	2345	7
my	2316	7
class	2301	0
criminal	2284	6
against	2266	6
school	2250	16
mr	2194	11
cells	2180	3
received	2178	10
whom	2170	10
condition	2168	5
art	2160	8
little	2159	7
up	2135	3
city	2120	16
few	2106	7
whose	2073	10
committed	2070	10
another	2059	7
having	2023	4
act	2017	6
others	2006	8
thus	1998	7
court	1995	6
how	1989	17
done	1974	10
give	1962	17
us	1956	0
say	1918	17
among	1901	7
cannot	1891	4
officers	1890	11
given	1872	10
your	1865	7
morethan	1864	9
separate	1856	7
long	1843	7
yet	1831	7
she	1808	8
within	1783	9
amount	1782	2
taken	1770	10
months	1759	9
home	1751	16
themselves	1750	8
attention	1748	0
both	1732	7
discharged	1728	10
order	1722	0
health	1721	5
over	1716	7
plan	1703	0
course	1696	0
proper	1681	7
better	1680	7
however	1665	0
old	1659	16
cause	1657	0
use	1657	0
boys	1655	16
see	1652	17
government	1638	11
between	1638	4
less	1638	7
whether	1634	7
following	1624	11
duty	1622	11
mind	1610	8
tho	1602	7
here	1601	7
me	1597	0
through	1596	7
necessary	1590	7
legislature	1578	11
institutions	1566	5
schools	1563	16
several	1562	16
re	1561	7
evil	1556	0
fact	1553	0
insane	1545	16
since	1544	9
way	1537	0
power	1536	0
best	1531	7
con	1521	7
association	1521	0
newyork	1519	16
sentence	1514	9
nor	1494	7
improvement	1494	0
take	1490	17
too	1489	7
education	1486	0
laws	1480	5
never	1477	8
regard	1459	1
though	1459	7
jail	1455	16
object	1453	0
effect	1443	0
cell	1443	3
often	1429	7
hope	1420	17
question	1417	0
period	1408	9
interest	1405	0
reformatory	1405	16
dollars	1401	2
purpose	1399	0
employment	1390	2
find	1382	17
opinion	1375	0
building	1374	12
still	1368	7
money	1366	2
sent	1363	10
results	1362	5
read	1359	10
conduct	1358	8
age	1358	9
young	1357	8
therefore	1355	7
esq	1354	15
kind	1352	0
instruction	1350	5
himself	1347	8
either	1342	6
care	1330	8
inmates	1330	16
circumstances	1322	5
influence	1321	0
aswell	1310	7
like	1309	7
